timestamp,range,doppler,azimuth,elevation,power,x,y,z,comp_height,comp_velocity,u,v
1663831219.82984,13.193833744856,1.0656,0.83310676838523,-0.122995979128846,9.69,8.80687,-1.6187,37.7331,2.3887,1.0656,1188,463
1663831219.82984,15.0179388952279,1.0656,0.956534908733741,-0.101086049142389,12.21,8.61148,-1.51552,38.2246,2.28552,1.0656,1180,467
1663831219.82984,19.7806201324023,0.7992,0.615894936503095,-0.220652908139245,11.15,15.7546,-4.32932,36.5917,5.09932,0.7992,1396,378
1663831219.82984,20.820600887544,0.7992,0.674835836309223,-0.199524915195506,12.75,15.9344,-4.12672,37.0093,4.89672,0.7992,1397,385
1663831219.82984,17.0244636163493,0.9324,0.668469616685881,-0.247497058718484,10.23,12.9532,-4.17062,38.6074,4.94062,0.9324,1295,392
1663831219.82984,14.2836427134397,1.0656,0.801486051710378,-0.262398208697558,9.91,9.59616,-3.70514,40.067,4.47514,1.0656,1193,411
1663831219.82984,14.8027651932772,1.0656,0.827075685196981,-0.255684254150969,10.54,9.69612,-3.74373,40.4844,4.51373,1.0656,1193,411
1663831219.82984,16.5383778651505,1.0656,1.06697203239629,-0.130611749119752,14.36,7.91636,-2.15397,41.4236,2.92397,1.0656,1143,455
1663831219.82984,17.9658733876786,1.0656,1.10578753776773,-0.121413817310588,15.94,7.99714,-2.17595,41.8463,2.94595,1.0656,1143,455
1663831219.82984,13.5561645916329,1.1988,1.05445047362694,-0.0387168591644761,11.78,6.68774,-0.524721,44.7444,1.294721,1.1988,1100,498
1663831219.82984,12.6607920667113,1.1988,1.00710821289343,-0.0641956781591719,10.68,6.75082,-0.81221,45.1665,1.58221,1.1988,1100,491
1663831219.82984,15.1524106465204,1.0656,0.982901142193272,-0.0541347911942113,12.59,8.39138,-0.819872,45.3288,1.589872,1.0656,1138,490
1663831219.82984,15.4362168633542,1.0656,0.754010028025512,-0.149029781241071,10.45,11.1275,-2.29195,46.461,3.06195,1.0656,1194,456
1663831219.82984,11.6882218393817,1.0656,0.865922665822985,-0.197369481268394,8.73,7.42621,-2.29195,47.1943,3.06195,1.0656,1107,459
1663831219.82984,15.1024412948371,1.0656,1.04396088928465,-0.163729356544528,12.88,7.49196,-2.46168,47.6121,3.23168,1.0656,1107,455
1663831219.82984,11.1143280806219,1.0656,0.762132548885734,-0.225367620021369,7.48,7.83641,-2.48366,47.9927,3.25366,1.0656,1114,455
1663831219.82984,14.1489404129046,1.1988,0.976766524267775,-0.0295317331347064,11.72,7.91578,-0.417782,48.4788,1.187782,1.1988,1115,501
1663831219.82984,13.8921127377339,1.1988,0.958111032072582,-0.0303417975836671,11.36,7.98521,-0.421447,48.9041,1.191447,1.1988,1115,501
1663831219.82984,12.4100648916958,1.1988,0.848987963712336,-0.194223437104044,9.14,8.04569,-2.3952,49.2744,3.1652,1.1988,1114,458
1663831219.82984,14.8395783611833,1.1988,1.16283540639035,-0.163524891051097,13.44,5.80889,-2.41584,50.0212,3.18584,1.1988,1064,460
1663831219.82984,17.004608599862,1.1988,1.19094672669029,-0.134451318889226,15.65,6.24808,-2.27941,50.4093,3.04941,1.1988,1072,463
1663831219.82984,16.7683572383821,1.1988,1.11714640833734,-0.137519819986652,14.93,7.27934,-2.29872,50.7057,3.06872,1.1988,1093,462
1663831219.82984,16.6716499159801,1.1988,1.06083176138759,-0.166151365402873,14.35,8.02613,-2.75729,51.0068,3.52729,1.1988,1107,453
1663831219.82984,11.9282735498017,1.1988,1.16098615979164,-0.12876219122485,10.85,4.7133,-1.53167,51.9028,2.30167,1.1988,1038,480
1663831219.82984,14.0574508852352,1.0656,0.976196190645422,-0.16844171917626,11.48,7.76322,-2.35668,51.94,3.12668,1.0656,1099,462
1663831219.82984,14.2518051392973,1.1988,0.945074245048421,-0.167497120159655,11.39,8.23022,-2.37599,52.3038,3.14599,1.1988,1108,462
1663831219.82984,13.1681135305138,1.332,1.09568452275264,-0.160037674791771,11.56,5.94662,-2.09841,53.9259,2.86841,1.332,1058,470
1663831219.82984,14.195741397155,1.1988,1.13039923147714,-0.137511400435121,12.72,5.9945,-1.94593,54.3602,2.71593,1.1988,1058,473
1663831219.82984,11.9652982113527,1.1988,1.03344909583523,-0.16465448804409,10.14,6.04171,-1.96125,54.7882,2.73125,1.1988,1058,473
1663831219.82984,22.8865285897621,-2.1312,0.428043207232879,0.0,9.5,20.8217,0.0,117.529,0.77,-2.1312,1130,508
1663831219.82984,39.0065559569158,-2.1312,0.247169997420832,-0.332719222063306,9.02,35.7469,-12.7401,181.359,13.5101,-2.1312,1149,433
1663831219.82984,38.7425282750106,-2.1312,0.225998819688521,-0.320260947449419,8.24,35.8375,-12.1967,181.819,12.9667,-2.1312,1149,436
1663831219.82984,38.7781808945443,-2.1312,0.219136397664504,-0.320724925022368,8.0,35.9207,-12.225,182.241,12.995,-2.1312,1149,436
1663831219.82984,19.7530618035888,1.0656,1.10000314667704,-0.0622543569550117,17.57,8.9425,-1.22892,50.4764,1.99892,1.0656,1129,484
1663831219.82984,18.4768607399468,1.0656,1.0601751477107,-0.0497845898571736,16.1,9.01881,-0.919483,50.9071,1.689483,1.0656,1129,490
1663831219.82984,17.937472060906,1.0656,1.05784096126218,-0.0337167122072467,15.62,8.79789,-0.604678,51.3877,1.374678,1.0656,1123,497
1663831219.82984,17.4286932724452,1.0656,1.03645187058236,-0.0349883035159641,14.99,8.8706,-0.609676,51.8124,1.379676,1.0656,1123,497
1663831219.82984,14.0228096502021,1.1988,1.02798228461164,-0.0672604860870033,11.98,7.22707,-0.94247,52.4972,1.71247,1.1988,1087,491
1663831219.82984,13.8269412622636,1.0656,0.961247459462438,-0.0687702589995447,11.31,7.89718,-0.950133,52.8362,1.720133,1.0656,1100,491
1663831219.82984,13.8560031438768,1.0656,0.854482002222429,-0.0450981274812463,10.44,9.08873,-0.624668,53.0865,1.394668,1.0656,1123,497
1663831219.82984,16.9053474718837,1.1988,1.14425716131388,-0.0372551159464688,15.38,6.98927,-0.629665,53.838,1.399665,1.1988,1079,498
1663831219.82984,18.1519906308544,1.1988,1.17183321804702,-0.0443013679397857,16.71,7.04446,-0.803895,54.263,1.573895,1.1988,1079,495
1663831219.82984,14.4853536565569,1.1988,1.05765778763398,-0.0559632920538491,12.6,7.09993,-0.810225,54.6903,1.580225,1.1988,1079,495
1663831219.82984,24.7088482390418,-1.8648,0.302665363816236,0.17683695253199,7.25,23.2179,4.3467,109.956,-3.5767,-1.8648,1167,549
1663831219.82984,23.6130880281021,-1.8648,0.332127159507472,0.288940152356526,7.38,21.3973,6.72823,172.633,-5.95823,-1.8648,1074,550
1663831219.82984,13.2704042324476,1.0656,0.967182627696026,-0.0681862429314435,10.9,7.51506,-0.904158,50.2796,1.674158,1.0656,1100,491
1663831219.82984,15.9192207998519,1.0656,1.04581473820706,-0.0473350658919639,13.76,7.96973,-0.753256,50.6484,1.523256,1.0656,1108,494
1663831219.82984,18.277263529626,1.0656,1.09701970425052,-0.0415710383997129,16.25,8.3318,-0.759586,51.0267,1.529586,1.0656,1115,494
1663831219.82984,18.2003591800096,1.0656,1.09499652544082,-0.0329548198525801,16.17,8.33214,-0.599681,51.0287,1.369681,1.0656,1115,497
1663831219.82984,16.9833710679581,1.0656,1.05275698614728,-0.04511329691626,14.74,8.40123,-0.765916,51.4519,1.535916,1.0656,1115,494
1663831219.82984,17.0007895322575,1.0656,1.04862208854559,-0.045439761167443,14.72,8.47066,-0.772246,51.8771,1.542246,1.0656,1115,494
1663831219.82984,12.1438293727383,1.1988,0.956999346855496,-0.038033336082031,9.92,6.98949,-0.461759,53.8396,1.231759,1.1988,1079,501
1663831219.82984,16.1062738953232,1.1988,1.11772280608106,-0.0394149113861172,14.47,7.04474,-0.634663,54.2653,1.404663,1.1988,1079,498
1663831219.82984,17.7449893479737,1.1988,1.15885937338935,-0.0360551702141046,16.25,7.10021,-0.63966,54.6925,1.40966,1.1988,1079,498
1663831219.82984,26.0989549115688,-1.8648,0.334598202898242,0.0498045732225932,8.56,24.621,1.29931,109.287,-0.52931,-1.8648,1181,519
1663831219.82984,26.3540795422056,-1.8648,0.332995890584176,0.0895414335121645,8.58,24.8066,2.35663,110.111,-1.58663,-1.8648,1181,529
1663831219.82984,25.7545510926593,-1.8648,0.3299875191364,0.0919821546856864,8.31,24.262,2.36562,110.674,-1.59562,-1.8648,1175,529
1663831219.82984,39.7626585926155,-1.998,0.210172984885841,-0.181087478263069,8.16,38.2518,-7.16123,181.154,7.93123,-1.998,1165,465
