timestamp,range,doppler,azimuth,elevation,power,x,y,z,comp_height,comp_velocity
1668925992.42746,20.2523,-0.2664,-40.5168,-6.6893,7.38,-13.0678,-2.35909,15.2913,3.12909,0.1435999999999999
1668925992.42746,20.6832,-0.2664,-40.5168,-6.3792,11.3,-13.3541,-2.29807,15.6263,3.06807,0.1435999999999999
1668925992.42746,21.1141,-0.3996,-40.5168,-6.202,11.6,-13.6369,-2.28104,15.9573,3.05104,0.0103999999999999
1668925992.42746,21.545,-0.3996,-40.5168,-6.202,5.76,-13.9152,-2.32759,16.283,3.09759,0.0103999999999999
1668925992.42746,22.8377,-0.2664,-34.4448,-2.0378,11.67,-12.9091,-0.812082,18.8217,1.582082,0.1435999999999999
1668925992.42746,23.2686,-0.3996,-34.4448,-2.0378,15.82,-13.1527,-0.827404,19.1768,1.597404,0.0103999999999999
1668925992.42746,23.6995,-0.3996,19.7616,-2.0378,19.45,8.00791,-0.842726,22.2897,1.612726,0.0103999999999999
1668925992.42746,24.1304,-0.3996,19.7616,-2.0378,25.37,8.1535,-0.858049,22.6949,1.628049,0.0103999999999999
1668925992.42746,24.5613,-0.3996,19.7616,-2.0378,25.16,8.2991,-0.873371,23.1002,1.643371,0.0103999999999999
1668925992.42746,24.9922,-0.3996,19.7616,-2.215,19.27,8.44373,-0.965934,23.5028,1.735934,0.0103999999999999
1668925992.42746,25.4231,-0.3996,20.0928,-2.9238,16.37,8.72253,-1.29678,23.8447,2.06678,0.0103999999999999
1668925992.42746,25.854,-0.3996,4.8576,-2.3922,19.85,2.1874,-1.07914,25.7387,1.84914,0.0103999999999999
1668925992.42746,26.2849,-0.3996,4.8576,-2.0378,23.7,2.22439,-0.93466,26.1739,1.70466,0.0103999999999999
1668925992.42746,26.7158,-0.3996,4.8576,-2.0378,23.01,2.26085,-0.949982,26.603,1.719982,0.0103999999999999
1668925992.42746,27.1467,-0.3996,4.8576,-2.0378,16.23,2.29732,-0.965305,27.0321,1.735305,0.0103999999999999
1668925992.42746,28.0085,-0.3996,4.0848,-2.5694,21.23,1.99312,-1.25561,27.9093,2.02561,0.0103999999999999
1668925992.42746,28.4394,-0.3996,3.6432,-2.5694,25.62,1.80531,-1.27492,28.3534,2.0449200000000003,0.0103999999999999
1668925992.42746,28.8703,-0.3996,3.6432,-2.5694,24.29,1.83266,-1.29424,28.783,2.06424,0.0103999999999999
1668925992.42746,29.3012,-0.3996,3.6432,11.961,17.68,1.82146,6.07255,28.6071,-5.30255,0.0103999999999999
1668925992.42746,34.9029,-0.3996,10.8192,-3.0567,13.64,6.54232,-1.86117,34.2337,2.63117,0.0103999999999999
1668925992.42746,35.3338,-0.3996,10.8192,-3.0567,15.94,6.62309,-1.88415,34.6563,2.65415,0.0103999999999999
1668925992.42746,35.7647,-0.3996,10.8192,-3.2339,16.26,6.70272,-2.01757,35.073,2.78757,0.0103999999999999
