timestamp,range,doppler,azimuth,elevation,power,x,y,z,comp_height,comp_velocity
1664091275.275276,12.927,-0.666,45.1536,-1.6834,16.91,9.16129,-0.379752,9.1123,1.149752,0.2339999999999999
1664091275.275276,13.3579,-0.666,45.1536,-1.5062,22.4,9.46748,-0.351114,9.41685,1.121114,0.2339999999999999
1664091275.275276,13.7888,-0.666,45.1536,-1.5062,22.05,9.77288,-0.36244,9.72062,1.13244,0.2339999999999999
1664091275.275276,14.2197,-0.7992,26.6064,-1.5062,18.78,6.36622,-0.373767,12.7095,1.143767,0.1008
1664091275.275276,14.6506,-0.7992,23.736,-2.7466,14.44,5.89043,-0.70204,13.3959,1.47204,0.1008
1664091275.275276,15.0815,-0.7992,19.32,0.3101,14.13,4.98955,0.0816247,14.232,0.6883753,0.1008
1664091275.275276,15.5124,-0.7992,19.32,-0.3101,13.15,5.13211,-0.0839568,14.6386,0.8539568,0.1008
1664091275.275276,15.9433,-0.9324,14.2416,-0.6645,15.01,3.92197,-0.184902,15.4523,0.954902,-0.0323999999999999
1664091275.275276,16.3742,-0.9324,9.2736,0.1329,18.21,2.63868,0.0379806,16.1601,0.7320194,-0.0323999999999999
1664091275.275276,17.236,-0.9324,9.2736,-5.1388,16.06,2.7664,-1.54381,16.9424,2.31381,-0.0323999999999999
1664091275.275276,17.6669,-0.9324,11.9232,-7.0437,7.69,3.62244,-2.16643,17.1553,2.93643,-0.0323999999999999
1664091275.275276,18.0978,-0.9324,16.2288,-7.0437,7.91,5.01969,-2.21927,17.2455,2.98927,-0.0323999999999999
1664091275.275276,32.3175,-0.9324,13.1376,-4.9616,8.35,7.31793,-2.79508,31.3537,3.56508,-0.0323999999999999
1664091275.275276,32.7484,-0.9324,13.1376,-4.8287,10.38,7.41698,-2.75666,31.7781,3.52666,-0.0323999999999999
1664091275.275276,34.9029,-0.9324,6.624,-3.9427,15.03,4.01663,-2.39988,34.5879,3.16988,-0.0323999999999999
1664091275.275276,35.3338,-0.9324,6.624,-3.9427,19.06,4.06622,-2.42951,35.0149,3.19951,-0.0323999999999999
1664091275.275276,35.7647,-0.9324,4.416,-2.7466,17.58,2.75063,-1.7138,35.6176,2.4838,-0.0323999999999999
1664091275.275276,36.1956,-0.9324,4.8576,-2.7466,19.48,3.06151,-1.73445,36.0242,2.5044500000000003,-0.0323999999999999
1664091275.275276,37.0574,-0.9324,5.1888,-4.2971,17.16,3.34197,-2.77665,36.8018,3.54665,-0.0323999999999999
1664091275.275276,37.4883,-0.9324,3.6432,-4.2971,15.77,2.37542,-2.80893,37.3074,3.57893,-0.0323999999999999
1664091275.275276,37.9192,-0.9324,3.6432,-3.4111,18.44,2.40523,-2.25618,37.7755,3.02618,-0.0323999999999999
1664091275.275276,38.3501,-0.9324,-4.0848,-3.4111,18.06,-2.72695,-2.28182,38.1849,3.05182,-0.0323999999999999
1664091275.275276,40.5046,-0.9324,4.416,2.5694,17.05,3.11562,1.8158,40.3438,-1.0458,-0.0323999999999999
1664091275.275276,41.7973,-0.7992,-21.3072,-1.0189,19.15,-15.1854,-0.743249,38.9341,1.513249,0.1008
1664091275.275276,43.9518,-0.9324,-2.208,-6.202,10.05,-1.68343,-4.74829,43.6621,5.51829,-0.0323999999999999
1664091275.275276,79.2856,-0.7992,7.3968,-7.3981,7.63,10.1223,-10.209,77.9713,10.979,0.1008
1664091275.275276,79.7165,-0.7992,7.3968,-7.7525,9.58,10.1689,-10.7533,78.3306,11.5233,0.1008
1664091275.275276,14.6506,-0.666,20.0928,-2.215,13.14,5.02933,-0.566237,13.7486,1.336237,0.2339999999999999
1664091275.275276,15.0815,-0.666,16.56,-2.215,16.24,4.29531,-0.582891,14.4451,1.352891,0.2339999999999999
1664091275.275276,15.5124,-0.666,16.2288,-1.8606,16.23,4.33302,-0.503655,14.8864,1.273655,0.2339999999999999
1664091275.275276,15.9433,-0.666,14.2416,12.6698,15.69,3.82673,3.49688,15.077,-2.72688,0.2339999999999999
1664091275.275276,16.3742,-0.7992,13.9104,-3.4111,11.73,3.92945,-0.974261,15.8658,1.744261,0.1008
1664091275.275276,16.8051,-0.7992,9.2736,-3.4111,12.72,2.70333,-0.999899,16.5561,1.769899,0.1008
1664091275.275276,17.236,-0.666,9.2736,-3.7655,11.6,2.77157,-1.13194,16.974,1.90194,0.2339999999999999
1664091275.275276,17.6669,-0.666,17.3328,-4.2971,10.18,5.24855,-1.32375,16.8172,2.09375,0.2339999999999999
1664091275.275276,17.6669,-0.666,15.0144,-4.2971,10.88,4.56395,-1.32375,17.0158,2.09375,0.2339999999999999
1664091275.275276,18.0978,-0.666,15.0144,-4.2971,9.11,4.67527,-1.35604,17.4308,2.12604,0.2339999999999999
1664091275.275276,34.9029,-0.666,6.624,-3.9427,7.55,4.01663,-2.39988,34.5879,3.16988,0.2339999999999999
1664091275.275276,37.4883,-0.7992,3.312,-3.0567,17.89,2.16273,-1.99903,37.3724,2.76903,0.1008
1664091275.275276,37.9192,-0.7992,-1.4352,-2.5694,17.11,-0.948783,-1.6999,37.8692,2.4699,0.1008
1664091275.275276,43.5209,-0.666,-3.6432,-5.4932,14.13,-2.75275,-4.16615,43.2335,4.93615,0.2339999999999999
