timestamp,range,doppler,azimuth,elevation,power,x,y,z,comp_height,comp_velocity
1665121320.941739,12.0652,-1.0656,48.4656,0.4873,9.25,9.03117,0.102613,7.99978,0.6673870000000001,0.6643999999999999
1665121320.941739,12.4961,-1.0656,48.4656,0.4873,9.15,9.35371,0.106278,8.28548,0.663722,0.6643999999999999
1665121320.941739,12.927,-1.0656,48.4656,0.4873,4.31,9.67626,0.109943,8.57119,0.660057,0.6643999999999999
1665121320.941739,16.8051,-1.4652,34.8864,1.1961,10.08,9.6096,0.350796,13.782,0.419204,0.2647999999999999
1665121320.941739,17.236,-1.4652,34.8864,1.6834,10.8,9.8539,0.506336,14.1324,0.263664,0.2647999999999999
1665121320.941739,17.6669,-1.4652,33.5616,2.215,8.45,9.75955,0.682815,14.7107,0.087185,0.2647999999999999
1665121320.941739,18.0978,-1.4652,37.2048,2.9238,5.92,10.9289,0.923129,14.3958,-0.1531289999999999,0.2647999999999999
1665121320.941739,18.5287,-1.4652,32.6784,-1.1961,6.09,10.0019,-0.386775,15.5925,1.156775,0.2647999999999999
1665121320.941739,19.3905,-1.4652,30.4704,-0.6645,7.02,9.83213,-0.22488,16.7114,0.99488,0.2647999999999999
1665121320.941739,19.8214,-1.4652,30.0288,4.1199,8.85,9.89369,1.42405,17.1165,-0.65405,0.2647999999999999
1665121320.941739,20.2523,-1.4652,29.5872,-0.1329,7.82,9.9995,-0.046976,17.6115,0.816976,0.2647999999999999
1665121320.941739,21.9759,-1.5984,26.6064,2.3922,9.62,9.83353,0.917266,19.6316,-0.147266,0.1315999999999999
1665121320.941739,22.4068,-1.5984,26.2752,2.7466,12.89,9.90772,1.07371,20.0686,-0.3037099999999999,0.1315999999999999
1665121320.941739,22.8377,-1.5984,26.2752,2.9238,12.14,10.0967,1.1649,20.4514,-0.3949,0.1315999999999999
1665121320.941739,23.2686,-1.5984,25.392,3.0567,8.51,9.96359,1.24078,20.9908,-0.47078,0.1315999999999999
1665121320.941739,23.6995,-1.5984,24.9504,2.3922,12.1,9.98853,0.989209,21.469,-0.219209,0.1315999999999999
