timestamp,range,doppler,azimuth,elevation,power,x,y,z,comp_height,comp_velocity
1664240870.919937,22.4068,-2.5308,15.456,-2.215,6.29,5.96691,-0.86601,21.5803,1.63601,-2.3108
1664240870.919937,22.8377,-2.5308,13.1376,-2.215,6.0,5.18691,-0.882664,22.2234,1.652664,-2.3108
1664240870.919937,23.2686,-2.5308,13.4688,-2.7466,7.8,5.4134,-1.115,22.6026,1.885,-2.3108
1664240870.919937,23.6995,-2.5308,13.4688,-2.9238,10.59,5.5128,-1.20886,23.0177,1.97886,-2.3108
1664240870.919937,24.1304,-2.5308,13.9104,-3.0567,16.9,5.7928,-1.28673,23.3894,2.05673,-2.3108
1664240870.919937,31.0248,-0.2664,-13.4688,-1.0189,16.95,-7.22502,-0.55169,30.1668,1.32169,-0.0464
1664240870.919937,31.4557,-0.2664,-12.696,-1.0189,10.51,-6.91218,-0.559352,30.6818,1.329352,-0.0464
1664240870.919937,31.8866,-0.2664,-11.9232,-1.1961,8.92,-6.58635,-0.665613,31.1919,1.435613,-0.0464
1664240870.919937,32.3175,-0.1332,-11.592,-1.8606,11.01,-6.49049,-1.04928,31.6416,1.81928,0.0867999999999999
1664240870.919937,32.7484,-0.2664,-10.8192,-3.0567,12.49,-6.13847,-1.74628,32.1205,2.51628,-0.0464
1664240870.919937,33.6102,-0.2664,-17.0016,-1.0189,11.69,-9.82602,-0.597664,32.1362,1.367664,-0.0464
1664240870.919937,34.0411,-0.2664,-17.0016,-1.0189,11.43,-9.95199,-0.605326,32.5482,1.375326,-0.0464
1664240870.919937,34.472,-0.2664,-17.3328,0.3101,12.49,-10.2698,0.186571,32.9062,0.583429,-0.0464
1664240870.919937,34.9029,-0.2664,-8.1696,-2.3922,14.53,-4.95551,-1.45683,34.5186,2.22683,-0.0464
1664240870.919937,35.3338,-0.2664,-8.1696,-0.8417,13.58,-5.02052,-0.51905,34.9715,1.28905,-0.0464
1664240870.919937,35.7647,-0.2664,-5.9616,-1.1961,15.1,-3.71378,-0.746565,35.5635,1.516565,-0.0464
1664240870.919937,36.1956,-0.2664,-6.2928,-0.6645,17.08,-3.96711,-0.419777,35.9751,1.189777,-0.0464
1664240870.919937,36.6265,-0.2664,-11.1504,-1.0189,16.42,-7.0819,-0.651301,35.9294,1.421301,-0.0464
1664240870.919937,37.0574,-0.2664,-5.1888,-1.3733,14.95,-3.35043,-0.888129,36.8949,1.658129,-0.0464
1664240870.919937,37.0574,-0.2664,-11.592,-1.3733,15.59,-7.44422,-0.888129,36.2911,1.658129,-0.0464
1664240870.919937,37.4883,-0.2664,-8.5008,-1.3733,12.38,-5.54005,-0.898456,37.0658,1.668456,-0.0464
1664240870.919937,37.4883,-0.2664,-11.592,-1.3733,13.44,-7.53078,-0.898456,36.7131,1.668456,-0.0464
1664240870.919937,37.9192,-0.1332,11.1504,-2.0378,11.8,7.32837,-1.34836,37.1799,2.11836,0.0867999999999999
1664240870.919937,38.3501,-0.2664,11.1504,-3.0567,8.47,7.40579,-2.04499,37.5726,2.81499,-0.0464
1664240870.919937,38.781,-0.1332,11.1504,-2.215,13.73,7.49406,-1.49886,38.0205,2.26886,0.0867999999999999
1664240870.919937,39.2119,-0.1332,10.488,-2.215,15.25,7.13239,-1.51552,38.528,2.28552,0.0867999999999999
1664240870.919937,39.6428,-0.1332,13.4688,-2.215,14.48,9.22654,-1.53217,38.5237,2.3021700000000003,0.0867999999999999
1664240870.919937,40.0737,-0.1332,9.7152,-2.215,11.6,6.75742,-1.54883,39.4695,2.31883,0.0867999999999999
1664240870.919937,40.5046,-0.1332,9.7152,-2.0378,11.06,6.83086,-1.4403,39.8985,2.2103,0.0867999999999999
1664240870.919937,41.3664,-0.1332,9.2736,-1.8606,11.74,6.66264,-1.34308,40.8042,2.11308,0.0867999999999999
1664240870.919937,41.7973,-0.1332,9.7152,-1.8606,10.56,7.04961,-1.35707,41.1762,2.12707,0.0867999999999999
1664240870.919937,42.2282,-0.1332,15.0144,-4.9616,10.62,10.8987,-3.65224,40.6337,4.42224,0.0867999999999999
1664240870.919937,42.6591,-0.1332,15.456,-4.9616,9.04,11.326,-3.6895,40.9623,4.4595,0.0867999999999999
1664240870.919937,43.09,-0.1332,15.456,-5.1388,8.59,11.4373,-3.85952,41.3647,4.629519999999999,0.0867999999999999
1664240870.919937,43.5209,-0.1332,15.7872,-5.1388,13.76,11.7929,-3.89811,41.7109,4.66811,0.0867999999999999
1664240870.919937,43.9518,-0.1332,16.56,-5.1388,14.67,12.4768,-3.93671,41.9594,4.70671,0.0867999999999999
1664240870.919937,31.0248,0.0,-11.9232,-2.0378,6.77,-6.40568,-1.10321,30.3363,1.87321,0.22
1664240870.919937,31.4557,0.0,-10.488,-2.3922,7.5,-5.72088,-1.31295,30.9032,2.0829500000000003,0.22
1664240870.919937,31.4557,0.0,-13.1376,-2.3922,8.82,-7.14335,-1.31295,30.6057,2.0829500000000003,0.22
1664240870.919937,31.8866,0.0,-13.1376,-2.7466,13.54,-7.23919,-1.52797,31.0164,2.2979700000000003,0.22
1664240870.919937,31.8866,0.0,-10.488,-2.7466,13.33,-5.79764,-1.52797,31.3179,2.2979700000000003,0.22
1664240870.919937,32.3175,0.0,-10.488,10.5434,14.94,-5.78342,5.91346,31.2411,-5.143459999999999,0.22
1664240870.919937,32.3175,0.0,-13.4688,10.5434,15.08,-7.40017,5.91346,30.898,-5.143459999999999,0.22
1664240870.919937,32.7484,0.0,-8.1696,-2.5694,14.58,-4.64899,-1.46809,32.3835,2.23809,0.22
1664240870.919937,33.6102,0.0,-16.56,-3.7655,16.79,-9.55887,-2.20729,32.1466,2.97729,0.22
1664240870.919937,34.0411,0.0,-17.0016,-3.5883,17.22,-9.93405,-2.13052,32.4896,2.90052,0.22
1664240870.919937,34.472,0.0,-8.9424,-3.9427,15.46,-5.3457,-2.37025,33.9724,3.14025,0.22
1664240870.919937,34.9029,0.0,-6.2928,-3.4111,17.23,-3.81891,-2.07671,34.6311,2.84671,0.22
1664240870.919937,35.3338,0.0,-6.2928,-2.3922,19.7,-3.86954,-1.47482,35.0903,2.24482,0.22
1664240870.919937,35.7647,0.0,-3.6432,-2.0378,18.12,-2.27116,-1.27175,35.6698,2.04175,0.22
1664240870.919937,36.1956,0.0,-3.6432,-2.5694,18.82,-2.29766,-1.62263,36.0861,2.39263,0.22
1664240870.919937,36.6265,0.0,-3.6432,-2.7466,15.74,-2.32468,-1.7551,36.5105,2.5251,0.22
1664240870.919937,37.0574,0.0,-10.0464,-2.9238,12.09,-6.45609,-1.89022,36.4417,2.66022,0.22
1664240870.919937,37.0574,0.0,-3.312,-2.9238,12.51,-2.13813,-1.89022,36.9473,2.66022,0.22
1664240870.919937,37.4883,0.0,-10.0464,-2.9238,8.57,-6.53116,-1.9122,36.8654,2.6822,0.22
1664240870.919937,37.9192,0.0,18.5472,-2.215,12.45,12.0525,-1.46555,35.9229,2.23555,0.22
1664240870.919937,38.3501,0.0,18.1056,-2.215,14.44,11.9091,-1.48221,36.424,2.25221,0.22
1664240870.919937,38.781,0.0,13.1376,-2.3922,14.37,8.80687,-1.6187,37.7331,2.3887,0.22
1664240870.919937,39.2119,0.0,12.696,-2.3922,15.26,8.61041,-1.63669,38.2198,2.40669,0.22
1664240870.919937,39.6428,0.0,12.696,-2.3922,12.48,8.70503,-1.65468,38.6398,2.42468,0.22
1664240870.919937,40.0737,0.0,11.592,-2.5694,14.2,8.04436,-1.79648,39.2169,2.5664800000000003,0.22
1664240870.919937,40.5046,0.0,11.9232,-2.215,13.01,8.36201,-1.56548,39.6011,2.33548,0.22
1664240870.919937,40.9355,0.0,20.0928,-2.215,8.26,14.0525,-1.58213,38.4153,2.35213,0.22
1664240870.919937,41.7973,0.0,15.0144,-2.5694,8.49,10.8172,-1.87375,40.3298,2.64375,0.22
1664240870.919937,42.2282,0.0,17.7744,-5.4932,10.13,12.8318,-4.04241,40.0278,4.81241,0.22
1664240870.919937,42.2282,0.0,15.0144,-5.4932,9.13,10.8895,-4.04241,40.5993,4.81241,0.22
1664240870.919937,42.6591,0.0,17.7744,-5.4932,14.43,12.9627,-4.08365,40.4362,4.85365,0.22
1664240870.919937,43.09,0.0,17.7744,-5.316,16.08,13.0975,-3.99223,40.8566,4.762230000000001,0.22
1664240870.919937,43.9518,0.0,18.1056,-4.8287,7.47,13.6104,-3.69973,41.6273,4.46973,0.22
1664240870.919937,31.8866,0.0,-12.3648,-2.215,12.25,-6.82294,-1.2324,31.1237,2.0024,0.22
1664240870.919937,31.8866,0.0,-8.1696,-2.215,13.49,-4.52782,-1.2324,31.5394,2.0024,0.22
1664240870.919937,32.3175,0.0,-8.1696,-2.215,16.44,-4.58901,-1.24905,31.9656,2.01905,0.22
1664240870.919937,32.7484,0.0,-8.1696,-2.3922,13.21,-4.64962,-1.36691,32.3878,2.1369100000000003,0.22
1664240870.919937,32.7484,0.0,-12.3648,-2.3922,13.85,-7.00648,-1.36691,31.9609,2.1369100000000003,0.22
1664240870.919937,33.1793,0.0,-15.0144,-2.0378,12.22,-8.59005,-1.17982,32.0263,1.94982,0.22
1664240870.919937,33.6102,0.0,-16.56,-2.5694,15.18,-9.56992,-1.50673,32.1837,2.27673,0.22
1664240870.919937,34.0411,0.0,-17.3328,-2.7466,16.66,-10.1299,-1.63121,32.458,2.40121,0.22
1664240870.919937,34.472,0.0,-17.7744,-2.7466,16.65,-10.5112,-1.65186,32.7888,2.42186,0.22
1664240870.919937,34.9029,0.0,-6.624,-2.215,18.36,-4.02315,-1.34898,34.644,2.11898,0.22
1664240870.919937,35.3338,0.0,-2.208,-2.215,14.46,-1.3603,-1.36563,35.2812,2.13563,0.22
1664240870.919937,35.3338,0.0,-4.416,-2.215,14.63,-2.71858,-1.36563,35.2026,2.13563,0.22
