timestamp,range,doppler,azimuth,elevation,power,x,y,z,comp_height,comp_velocity
1670046669.028562,30.163,2.1312,15.456,-6.8665,11.45,7.98073,-3.60618,28.8636,4.37618,2.1312
1670046669.028562,30.5939,1.998,15.456,-6.8665,12.64,8.09474,-3.6577,29.276,4.4277,1.998
1670046669.028562,31.0248,1.998,13.1376,-6.0248,18.84,7.01269,-3.25633,30.0459,4.02633,1.998
1670046669.028562,31.4557,1.998,13.1376,-6.0248,18.99,7.11009,-3.30156,30.4632,4.07156,1.998
1670046669.028562,31.8866,1.998,12.3648,-5.6704,19.75,6.79463,-3.15058,30.9945,3.92058,1.998
1670046669.028562,32.3175,1.998,11.9232,-5.6704,18.78,6.64414,-3.19315,31.4655,3.96315,1.998
1670046669.028562,33.1793,1.8648,10.488,-5.8476,16.48,6.00819,-3.3804,32.4552,4.150399999999999,1.8648
1670046669.028562,33.6102,1.8648,9.2736,-5.6704,16.71,5.38975,-3.32088,33.0086,4.09088,1.8648
1670046669.028562,34.0411,1.8648,8.9424,-5.316,14.95,5.26864,-3.15386,33.4827,3.92386,1.8648
1670046669.028562,34.472,1.8648,7.3968,-6.5564,19.14,4.40891,-3.93605,33.9616,4.706049999999999,1.8648
1670046669.028562,34.9029,1.7316,7.0656,-5.8476,22.47,4.27091,-3.556,34.4576,4.3260000000000005,1.7316
1670046669.028562,35.3338,1.7316,7.3968,-5.6704,20.25,4.52662,-3.49118,34.8683,4.26118,1.7316
1670046669.028562,35.7647,1.8648,11.9232,-9.4802,13.14,7.28809,-5.89069,34.5152,6.660690000000001,1.8648
1670046669.028562,36.1956,1.8648,10.488,-10.0118,11.75,6.48834,-6.29264,35.0489,7.06264,1.8648
1670046669.028562,36.6265,1.8648,7.0656,-10.0118,10.19,4.43666,-6.36755,35.7948,7.137549999999999,1.8648
1670046669.028562,37.0574,2.2644,21.3072,-7.2209,10.24,13.3587,-4.65793,34.2505,5.42793,2.2644
1670046669.028562,37.4883,2.3976,26.2752,-7.2209,8.65,16.4638,-4.7121,33.3483,5.482100000000001,2.3976
1670046669.028562,37.9192,2.2644,25.392,-7.2209,7.7,16.1311,-4.76626,33.9843,5.53626,2.2644
1670046669.028562,115.481,0.0,-4.8576,-4.1199,14.19,-9.75363,-8.29662,114.769,9.06662,0.0
1670046669.028562,115.912,0.0,-4.8576,-4.1199,13.17,-9.79002,-8.32757,115.197,9.09757,0.0
1670046669.028562,116.343,0.0,-5.1888,-4.2971,10.16,-10.4922,-8.71738,115.541,9.48738,0.0
1670046669.028562,116.774,0.0,-4.416,-4.4743,11.61,-8.96389,-9.10976,116.072,9.87976,0.0
1670046669.028562,117.205,0.0,-4.416,-4.2971,13.84,-8.9991,-8.78195,116.528,9.55195,0.0
1670046669.028562,117.636,0.0,-4.416,-4.2971,12.99,-9.03219,-8.81424,116.957,9.58424,0.0
1670046669.028562,118.497,0.0,-4.416,-3.9427,13.25,-9.10241,-8.14775,117.866,8.91775,0.0
1670046669.028562,184.425,0.0,2.5392,-4.2971,15.17,8.1476,-13.8187,183.726,14.5887,0.0
1670046669.028562,184.856,0.0,2.5392,-4.2971,10.28,8.16664,-13.8509,184.155,14.6209,0.0
1670046669.028562,185.287,0.0,2.5392,-4.2971,8.76,8.18567,-13.8832,184.585,14.6532,0.0
1670046669.028562,187.872,0.0,0.6624,-5.1388,7.06,2.16323,-16.8275,187.105,17.5975,0.0
1670046669.028562,188.303,0.0,0.6624,-5.1388,11.17,2.16819,-16.8661,187.534,17.6361,0.0
1670046669.028562,188.734,0.0,1.4352,-5.1388,9.77,4.7081,-16.9047,187.917,17.674699999999998,0.0
1670046669.028562,189.165,0.0,1.4352,-6.0248,9.83,4.71173,-19.8546,188.061,20.6246,0.0
1670046669.028562,189.596,0.0,0.3312,-6.0248,9.11,1.08991,-19.8998,188.546,20.6698,0.0
1670046669.028562,193.043,0.0,1.7664,-4.1199,10.73,5.93511,-13.869,192.453,14.639,0.0
1670046669.028562,193.474,0.0,1.7664,-4.1199,11.18,5.94835,-13.8999,192.882,14.6699,0.0
1670046669.028562,193.905,0.0,1.4352,-4.1199,7.29,4.84406,-13.9309,193.343,14.7009,0.0
1670046669.028562,194.336,0.0,3.312,-4.1199,11.58,11.1984,-13.9618,193.51,14.7318,0.0
1670046669.028562,194.767,0.0,2.9808,-4.1199,16.58,10.102,-13.9928,194.001,14.7628,0.0
1670046669.028562,195.198,0.0,3.6432,-4.4743,15.97,12.3656,-15.2277,194.21,15.9977,0.0
1670046669.028562,195.629,0.0,4.0848,-4.2971,11.76,13.896,-14.6581,194.583,15.4281,0.0
1670046669.028562,196.059,0.0,4.0848,-4.2971,16.06,13.9266,-14.6904,195.012,15.4604,0.0
1670046669.028562,196.49,0.0,3.6432,-4.9616,17.13,12.4388,-16.9941,195.359,17.7641,0.0
1670046669.028562,196.921,0.0,3.6432,-5.316,16.47,12.4591,-18.2445,195.678,19.0145,0.0
1670046669.028562,197.352,0.0,3.312,-5.316,10.05,11.3526,-18.2844,196.175,19.0544,0.0
1670046669.028562,102.985,0.0,-10.8192,-3.7655,8.73,-19.2896,-6.76335,100.936,7.53335,0.0
1670046669.028562,103.416,0.0,-10.8192,-3.7655,12.12,-19.3704,-6.79165,101.358,7.56165,0.0
1670046669.028562,103.847,0.0,-10.8192,-3.4111,12.04,-19.4586,-6.17887,101.82,6.948869999999999,0.0
1670046669.028562,104.278,0.0,-10.488,-3.4111,10.86,-18.948,-6.2045,102.354,6.974500000000001,0.0
1670046669.028562,104.709,0.0,-10.488,-3.5883,11.41,-19.0227,-6.55337,102.757,7.323370000000001,0.0
1670046669.028562,105.14,0.0,-10.0464,-3.5883,10.86,-18.3052,-6.58034,103.325,7.350339999999999,0.0
1670046669.028562,105.571,0.0,-10.0464,-3.5883,11.05,-18.3802,-6.60731,103.748,7.37731,0.0
1670046669.028562,111.172,0.0,-7.0656,-3.5883,11.95,-13.648,-6.9579,110.112,7.7279,0.0
1670046669.028562,111.603,0.0,-7.0656,-3.7655,13.75,-13.6982,-7.32932,110.516,8.09932,0.0
1670046669.028562,113.758,0.0,-5.9616,-3.9427,10.88,-11.7871,-7.82184,112.875,8.59184,0.0
1670046669.028562,114.188,0.0,-5.9616,-3.9427,13.76,-11.8318,-7.85146,113.302,8.62146,0.0
1670046669.028562,114.619,0.0,-5.9616,-3.9427,12.03,-11.8764,-7.88109,113.73,8.65109,0.0
1670046669.028562,115.481,0.0,-4.416,-4.2971,7.46,-8.86676,-8.6528,114.815,9.4228,0.0
1670046669.028562,115.912,0.0,-4.8576,-3.2339,11.61,-9.79976,-6.53886,115.312,7.308859999999999,0.0
1670046669.028562,116.343,0.0,-5.1888,-3.2339,11.61,-10.5051,-6.56317,115.682,7.333170000000001,0.0
1670046669.028562,116.774,0.0,-4.8576,-3.4111,8.25,-9.87085,-6.94802,116.148,7.718019999999999,0.0
1670046669.028562,117.205,0.0,-4.8576,-3.7655,11.4,-9.90343,-7.6972,116.532,8.4672,0.0
1670046669.028562,117.636,0.0,-4.8576,-3.9427,10.34,-9.93777,-8.08849,116.936,8.85849,0.0
1670046669.028562,188.303,0.0,0.3312,-6.3792,11.53,1.08175,-20.922,187.134,21.692,0.0
1670046669.028562,188.734,0.0,1.104,-6.3792,9.4,3.61387,-20.9699,187.531,21.7399,0.0
1670046669.028562,189.165,0.0,1.104,-6.3792,11.25,3.62212,-21.0178,187.959,21.7878,0.0
1670046669.028562,189.596,0.0,1.104,-6.3792,8.12,3.63037,-21.0657,188.387,21.8357,0.0
1670046669.028562,193.043,0.0,1.4352,-4.2971,9.81,4.82143,-14.4644,192.44,15.2344,0.0
1670046669.028562,193.474,0.0,1.4352,-4.2971,14.7,4.8322,-14.4967,192.87,15.2667,0.0
1670046669.028562,193.905,0.0,1.4352,-4.2971,14.3,4.84296,-14.529,193.299,15.299,0.0
1670046669.028562,194.336,0.0,2.5392,-4.2971,12.89,8.58544,-14.5612,193.599,15.3312,0.0
1670046669.028562,194.767,0.0,2.5392,-5.1388,14.84,8.59405,-17.445,193.794,18.215,0.0
1670046669.028562,196.49,0.0,3.312,-4.8287,10.24,11.3116,-16.54,195.466,17.31,0.0
1670046669.028562,196.921,0.0,3.312,-4.9616,10.72,11.3341,-17.0313,195.856,17.8013,0.0
1670046669.028562,103.416,0.0,-11.1504,-4.1199,10.18,-19.9474,-7.42981,101.202,8.19981,0.0
1670046669.028562,103.847,0.0,-11.1504,-4.1199,7.36,-20.0305,-7.46076,101.623,8.23076,0.0
1670046669.028562,104.278,0.0,-10.488,-4.2971,11.06,-18.9283,-7.81335,102.247,8.58335,0.0
1670046669.028562,104.709,0.0,-10.488,-4.2971,12.51,-19.0065,-7.84564,102.67,8.61564,0.0
1670046669.028562,105.14,0.0,-10.488,-4.1199,12.91,-19.0891,-7.55364,103.116,8.32364,0.0
1670046669.028562,105.571,0.0,-10.0464,-4.1199,13.68,-18.3687,-7.58459,103.683,8.35459,0.0
1670046669.028562,113.758,0.0,-5.9616,-4.1199,9.62,-11.7845,-8.17279,112.85,8.94279,0.0
1670046669.028562,114.188,0.0,-5.9616,-4.2971,10.14,-11.8265,-8.55595,113.252,9.32595,0.0
1670046669.028562,114.619,0.0,-5.52,-4.2971,11.44,-10.9946,-8.58823,113.767,9.35823,0.0
1670046669.028562,115.05,0.0,-5.52,-4.2971,14.26,-11.0359,-8.62052,114.195,9.39052,0.0
1670046669.028562,115.912,0.0,-5.1888,-4.2971,13.7,-10.4534,-8.68509,115.113,9.45509,0.0
1670046669.028562,116.343,0.0,-5.52,-4.2971,11.63,-11.1599,-8.71738,115.478,9.48738,0.0
